id,date_account_created,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
w8kqcn8g2u,01-05-2013,,MALE,26,facebook,0,zh,sem-brand,google,omg,Web,"Windows Desktop",IE,NDF
72lwawl7w2,21-05-2014,,,NULL,basic,0,en,direct,direct,linked,Web,"Windows Desktop",Chrome,NDF
22br6zetvc,20-01-2014,,MALE,22,facebook,12,en,api,other,untracked,iOS,"Mac Desktop",Firefox,NDF
g1p9bwr6v9,04-11-2012,,MALE,61,basic,0,en,sem-non-brand,google,untracked,Web,"Windows Desktop",Firefox,NDF
vvzp80ob30,27-09-2012,,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,NDF
u2u2jbute2,28-09-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,NDF
otb5ezg1yb,31-08-2011,,FEMALE,35,facebook,0,en,sem-brand,google,untracked,Web,"Windows Desktop",IE,NDF
ht49q2bhve,26-07-2013,10-08-2013,FEMALE,41,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Firefox,US
4rlnjuew8z,31-07-2013,,,NULL,basic,0,en,direct,direct,linked,Web,"Windows Desktop",Firefox,NDF
87f8n0dpu4,09-05-2014,18-08-2014,,28,basic,25,en,direct,direct,untracked,iOS,iPhone,,US
krl1lhle1z,03-12-2013,03-12-2013,MALE,27,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,US
qzm7bxn6el,14-04-2013,,MALE,25,facebook,0,en,direct,direct,omg,Web,"Windows Desktop",Chrome,NDF
asn3l2woly,30-04-2013,,,NULL,basic,0,en,sem-brand,google,untracked,Web,"Windows Desktop",Firefox,NDF
0co6s86hgb,30-06-2014,13-04-2015,MALE,41,facebook,0,en,other,padmapper,omg,Web,"Mac Desktop",Safari,GB
whp8zw65w2,09-06-2013,,FEMALE,74,basic,0,en,sem-non-brand,bing,omg,Web,"Windows Desktop",IE,NDF
8o7s6us1vl,09-02-2012,,MALE,28,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,NDF
1ging98cd0,24-06-2012,12-07-2012,MALE,34,facebook,0,en,other,craigslist,linked,Web,"Mac Desktop",Chrome,US
tggnzg203u,28-12-2013,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
qrwi5wvcg8,24-03-2014,,MALE,58,facebook,0,en,remarketing,google,linked,Web,"Mac Desktop",Safari,NDF
ll59eo9z6l,29-07-2012,14-05-2013,MALE,49,facebook,0,en,sem-non-brand,google,omg,Web,"Windows Desktop",Chrome,US
p4v0lnpvus,17-01-2011,,,NULL,basic,1,en,direct,direct,,Web,Other/Unknown,,NDF
ah0z7jqwc5,09-11-2013,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
bip7ewohy0,04-02-2013,,MALE,34,facebook,0,en,direct,direct,untracked,Web,iPad,"Mobile Safari",NDF
njqsftn7mc,04-11-2013,,MALE,43,facebook,0,en,direct,direct,linked,Web,"Mac Desktop",Firefox,NDF
9607xhhft1,28-06-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,NDF
h5qz78okt3,17-01-2013,28-01-2013,FEMALE,30,facebook,0,en,direct,direct,untracked,Web,"Windows Desktop",Firefox,US
5sk4p5rubp,04-12-2013,05-12-2013,FEMALE,29,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,US
gpkuz7rmd5,20-11-2010,,,NULL,basic,2,en,sem-non-brand,google,omg,Web,"Windows Desktop",Chrome,NDF
p6b8pguj90,19-06-2014,,FEMALE,52,basic,0,en,direct,direct,omg,Web,"Mac Desktop",Safari,NDF
7s8wkp5k2w,30-06-2013,30-06-2013,FEMALE,42,facebook,0,en,sem-non-brand,google,linked,Web,"Mac Desktop",Safari,US
3u9qecwwlv,20-09-2013,31-07-2014,FEMALE,41,basic,23,en,direct,direct,untracked,Android,Other/Unknown,,US
h9yhcstxbj,26-04-2014,29-04-2014,FEMALE,22,basic,0,en,sem-brand,google,omg,Web,"Windows Desktop",Chrome,FR
yv1bfh0hy0,27-11-2013,,FEMALE,25,facebook,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,NDF
uoj6hxtoa8,09-04-2013,,,NULL,basic,0,en,direct,direct,omg,Web,"Windows Desktop",Firefox,NDF
gzftdjnocd,13-11-2012,,FEMALE,33,basic,0,en,other,other,product,Web,"Mac Desktop",Safari,NDF
1v7hy2wld6,08-09-2013,,FEMALE,62,basic,0,en,sem-brand,google,omg,Web,"Windows Desktop",Firefox,NDF
7jedtmypqn,06-06-2013,23-08-2013,FEMALE,28,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,US
2n9h0a305t,12-12-2013,,,NULL,basic,0,en,sem-non-brand,bing,omg,Web,"Windows Desktop",Chrome,NDF
bedqcsbicq,14-04-2013,21-05-2013,FEMALE,36,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,other
624feg4oln,05-02-2014,09-02-2014,FEMALE,23,basic,23,en,direct,direct,untracked,Android,Other/Unknown,,US
eidh1mbbqa,20-05-2014,25-05-2014,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,US
f23emjwn8d,25-02-2013,,FEMALE,55,facebook,0,zh,content,facebook,omg,Web,"Android Tablet",IE,NDF
zepl157tq4,18-09-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,NDF
g601jkiyhl,20-04-2014,,MALE,53,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
cosl33i4gv,05-02-2014,20-02-2014,,NULL,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,FR
tr6o7bxx1t,14-06-2013,03-03-2014,FEMALE,26,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,FR
7lwkjtnexj,11-07-2013,17-07-2013,MALE,41,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,DE
58a9s26csc,27-03-2012,27-03-2012,FEMALE,33,facebook,0,en,direct,direct,untracked,Web,"Windows Desktop",Firefox,US
93iuxjwhns,17-12-2012,,FEMALE,26,facebook,0,en,direct,direct,linked,Web,"Mac Desktop",Firefox,NDF
74gwhnldgn,19-11-2013,,,NULL,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Chrome,NDF
tw3x7gpcw1,27-10-2013,30-10-2013,,29,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,US
jbz544bqyi,23-03-2014,,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Firefox,NDF
onmmal4a38,02-09-2013,07-09-2013,FEMALE,21,basic,0,en,sem-brand,google,omg,Web,"Mac Desktop",Firefox,US
u76njcr6zn,29-11-2013,,MALE,33,facebook,12,en,api,other,untracked,iOS,"Windows Desktop",Chrome,NDF
c2s5rn9jw1,23-08-2012,,FEMALE,48,facebook,0,en,direct,direct,linked,Web,"Windows Desktop",Chrome,NDF
jm8b1na12d,11-03-2013,11-03-2013,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,other
tl083q7s2o,07-11-2011,,FEMALE,48,facebook,0,en,direct,direct,tracked-other,Web,"Mac Desktop",Safari,NDF
hip99jmgcy,27-05-2013,20-06-2013,FEMALE,30,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,US
zl30uuvsaa,19-07-2012,,,2014,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Firefox,NDF
ycuhk2o06h,20-09-2012,,,NULL,basic,0,en,other,meetup,tracked-other,Web,"Windows Desktop",IE,NDF
21cdyd2z56,16-01-2014,,,NULL,basic,0,en,sem-brand,google,omg,Web,"Mac Desktop",Chrome,NDF
urthuqlgcn,28-05-2014,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
q5nfe74h46,09-06-2014,,FEMALE,28,facebook,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,NDF
zp4saso0qq,26-02-2013,26-02-2013,MALE,30,basic,0,en,direct,direct,linked,Web,"Windows Desktop",Chrome,US
2ixvfk5v5w,23-04-2014,,FEMALE,2014,basic,0,en,sem-brand,google,omg,Web,"Mac Desktop",Safari,NDF
vcswclscq3,08-05-2014,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
xxy4iml0dm,04-06-2013,14-06-2013,FEMALE,45,facebook,0,en,direct,direct,linked,Web,"Windows Desktop",IE,other
yq6vin7d4i,26-05-2011,,,NULL,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,NDF
i5oc71s3mc,07-02-2014,,MALE,32,basic,0,pt,sem-non-brand,google,omg,Web,"Windows Desktop",Chrome,NDF
pcjve6o1g1,27-02-2014,,MALE,51,facebook,12,en,api,other,untracked,iOS,iPhone,,NDF
kotdt4da71,25-02-2014,,,NULL,basic,0,en,sem-brand,google,omg,Web,iPad,"Mobile Safari",NDF
euvru88y9t,27-11-2013,06-12-2013,FEMALE,60,facebook,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,US
wsipfmrbom,03-06-2012,03-06-2012,,NULL,basic,3,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,US
3r9qi0kov1,23-10-2013,23-10-2013,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,US
b0bpizwr6z,14-04-2014,,FEMALE,56,basic,0,en,sem-non-brand,google,omg,Web,"Windows Desktop",Firefox,NDF
xpvwlaf68d,03-03-2014,03-03-2014,MALE,26,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,US
nth0cofdmt,04-12-2013,,MALE,29,facebook,0,en,sem-brand,google,omg,Web,"Windows Desktop",IE,NDF
yxhxukq7dp,01-07-2013,,MALE,27,facebook,0,en,direct,direct,untracked,Web,"Windows Desktop",Firefox,NDF
yjqhz4dm4k,28-06-2014,,FEMALE,29,facebook,25,en,direct,direct,linked,iOS,iPhone,"Mobile Safari",NDF
cgqfzthesg,03-03-2011,,,NULL,basic,3,en,direct,direct,untracked,Web,iPad,,NDF
dmnhcrpzan,03-12-2013,,,NULL,basic,23,en,direct,direct,untracked,Android,Other/Unknown,,NDF
n8297rupx2,09-06-2014,23-06-2014,MALE,30,basic,25,en,direct,direct,untracked,iOS,iPhone,,IT
dsbb4id5c3,14-02-2014,,,NULL,basic,0,en,sem-brand,google,omg,Web,"Windows Desktop",Chrome,NDF
p2y1h1c2p1,20-07-2013,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
u5axo3mc3m,05-08-2012,,FEMALE,23,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,NDF
cvogon6ps6,25-11-2013,,,NULL,basic,0,en,seo,yahoo,linked,Web,"Windows Desktop",Chrome,NDF
jco5jmtmfa,30-12-2012,,,NULL,basic,0,en,content,facebook,omg,Web,"Windows Desktop",Chrome,NDF
a19oh3v78b,18-07-2013,24-07-2013,,31,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,US
niul5zm61v,06-01-2011,28-01-2011,,28,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Firefox,other
3mh00xpis5,26-04-2014,21-01-2015,FEMALE,36,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,US
dbgbfisexf,12-11-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",IE,NDF
63npoctmyo,23-09-2013,,FEMALE,NULL,basic,24,en,direct,direct,linked,Moweb,iPhone,"Mobile Safari",NDF
n0uta4z867,06-07-2013,20-05-2014,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,US
ir6vagixka,27-02-2014,27-02-2014,FEMALE,25,basic,0,en,sem-brand,google,untracked,Web,iPhone,,other
mjo6eg3es0,08-11-2013,,MALE,32,facebook,0,en,direct,direct,linked,Web,"Windows Desktop",Chrome,NDF
fk3nt1t8bk,11-10-2013,,MALE,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,NDF
as8tkjsbsq,25-02-2014,,FEMALE,60,facebook,0,en,content,google,omg,Web,"Mac Desktop",Chrome,NDF
il867tmbbg,23-09-2013,22-06-2014,FEMALE,30,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,FR
h6baqjjbld,13-03-2014,,,NULL,basic,0,en,sem-non-brand,google,omg,Web,iPad,"Mobile Safari",NDF
1yaru2zy7p,01-04-2013,02-04-2013,FEMALE,35,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,GB
g71e112rnz,10-12-2013,11-12-2013,FEMALE,28,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,US
wu6r2ta9v3,30-04-2014,30-04-2014,FEMALE,29,facebook,25,en,direct,direct,untracked,iOS,iPhone,,US
dvp2je5fsy,22-07-2013,09-08-2013,MALE,30,facebook,12,en,api,other,untracked,Moweb,iPhone,"Mobile Safari",US
8c47wvvrgh,23-10-2012,,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,NDF
nt4bep1fyd,22-08-2013,17-01-2014,FEMALE,39,facebook,0,en,direct,direct,untracked,Web,"Android Phone","Chrome Mobile",other
71dw7cmmre,06-09-2012,18-03-2013,FEMALE,NULL,basic,0,en,sem-non-brand,google,omg,Web,iPad,"Mobile Safari",US
xp71ss8u8w,10-02-2014,,,NULL,basic,0,en,seo,google,linked,Web,"Mac Desktop",Chrome,NDF
7uyykkc90z,30-07-2012,,MALE,35,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,NDF
pcannw9cnp,18-06-2013,,MALE,31,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,NDF
m8nqlqvo0v,03-06-2014,,,NULL,basic,0,en,sem-brand,google,omg,Web,"Windows Desktop",IE,NDF
